=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.23 11:47:37 =~=~=~=~=~=~=~=~=~=~=~=
,0.10,48.5,0.10,22.4,1.2-2.3,0,0.07,0.08
,0.07,46.8,0.07,22.5,1.3-2.1,0,0.05,0.05
,0.11,18.9,0.11,22.4,1.2-2.2,0,0.10,0.03
,0.07,354.3,0.07,22.3,1.2-2.1,0,0.07-0.01
,0.10,25.8,0.10,22.4,1.2-2.3,0,0.09,0.04
,0.09,349.5,0.09,22.4,1.0-2.1,0,0.09-0.02
,0.09,359.1,0.09,22.3,1.1-2.2,0,0.09-0.00
,0.14,53.7,0.14,22.5,1.2-2.3,0,0.08,0.11
,0.15,20.9,0.15,22.4,1.3-2.0,0,0.14,0.05
,0.09,11.5,0.09,22.6,1.2-2.1,0,0.09,0.02
,0.12,75.0,0.12,22.5,1.3-2.3,0,0.03,0.12
,0.11,6.6,0.11,22.5,1.3-2.1,0,0.11,0.01
,0.07,358.0,0.07,22.4,1.2-2.2,0,0.07-0.00
,0.12,49.9,0.12,22.5,1.2-2.0,0,0.08,0.10
,0.10,356.5,0.10,22.4,1.1-2.2,0,0.10-0.01
,0.12,357.8,0.12,22.5,1.1-2.2,0,0.12-0.00
,0.11,1.8,0.11,22.5,1.1-2.3,0,0.11,0.00
,0.02,1.6,0.02,22.4,1.1-2.3,0,0.02,0.00
,0.11,4.7,0.11,22.3,1.3-2.3,0,0.11,0.01
,0.14,22.1,0.14,22.4,1.3-2.2,0,0.13,0.05
,0.12,4.4,0.12,22.5,1.2-2.2,0,0.12,0.01
,0.10,13.4,0.10,22.5,1.2-2.4,0,0.10,0.02
,0.10,86.3,0.10,22.5,1.2-2.3,0,0.01,0.10
,0.02,96.4,0.02,22.6,1.2-2.0,0-0.00,0.02
,0.07,201.7,0.07,22.7,1.1-2.3,0-0.06-0.02
,0.09,38.7,0.09,22.6,1.3-2.2,0,0.07,0.06
,0.04,173.1,0.04,22.6,1.3-2.2,0-0.04,0.01
,0.05,34.3,0.05,22.6,1.2-2.2,0,0.04,0.03
